entry	ensembl	entry_name	reviewed	protein_names	gene_names	length	organism	organism_id	pfam	supfam
Q7YU24		MARF_DROME	reviewed	Transmembrane GTPase Marf (EC 3.6.5.-) (Mitochondrial assembly regulatory factor) (Mitofusin)	Marf dmfn CG3869	810	Drosophila melanogaster (Fruit fly)	7227	PF00350;PF04799;	SSF111479;SSF52540;
Q7YU29		DMDE_DROME	reviewed	Dystrophin, isoform E (Protein detached)	Dys det CG34157	1051	Drosophila melanogaster (Fruit fly)	7227	PF09068;PF09069;PF00569;	SSF47473;SSF57850;SSF46966;SSF51045;
Q7YU81		CHN_DROME	reviewed	Protein charlatan	chn CG11798	1214	Drosophila melanogaster (Fruit fly)	7227		SSF57667;
Q7Z020		TRPA1_DROME	reviewed	Transient receptor potential cation channel subfamily A member 1 (dTRPA1) (Ankyrin-like with transmembrane domains protein 1) (dANKTM1)	TrpA1 Anktm1 CG5751	1197	Drosophila melanogaster (Fruit fly)	7227	PF12796;PF00520;	SSF48403;
Q7Z2C4		SELG_DROME	reviewed	Glycine-rich selenoprotein (G-rich selenoprotein) (dSelG)	SelG G-rich CG1844	110	Drosophila melanogaster (Fruit fly)	7227	PF10961;	
Q867Z4		LOLA4_DROME	reviewed	Longitudinals lacking protein, isoforms F/I/K/T	lola CG12052	970	Drosophila melanogaster (Fruit fly)	7227	PF00651;	SSF57667;SSF54695;
Q868Z9		PPN_DROME	reviewed	Papilin	Ppn CG33103	2898	Drosophila melanogaster (Fruit fly)	7227	PF05986;PF07679;PF13927;PF00014;PF08686;PF19030;PF00090;	SSF57362;SSF57256;SSF48726;SSF82895;
Q86B61		TBH1_DROME	reviewed	Tyramine beta-hydroxylase (EC 1.14.17.-) (Tyramine beta-monooxygenase) (TbetaM)	Tbh CG1543	670	Drosophila melanogaster (Fruit fly)	7227	PF03712;PF01082;PF03351;	SSF49742;
Q86B79		UNK_DROME	reviewed	RING finger protein unkempt	unk CG4620	599	Drosophila melanogaster (Fruit fly)	7227	PF13920;PF00642;PF23261;PF25427;PF23035;PF18384;	SSF90229;
Q86B87		MMD4_DROME	reviewed	Modifier of mdg4	mod(mdg4) bpd doom E(var)3-93D CG32491	610	Drosophila melanogaster (Fruit fly)	7227	PF00651;PF04500;	SSF54695;
Q86BA1		MICAL_DROME	reviewed	[F-actin]-monooxygenase Mical (EC 1.14.13.225) (Molecule interacting with CasL protein homolog)	Mical CG33208	4723	Drosophila melanogaster (Fruit fly)	7227	PF12130;PF00307;PF00412;PF25413;	SSF47576;SSF51905;SSF57716;
Q86BE9		PEN2_DROME	reviewed	Gamma-secretase subunit pen-2 (Presenilin enhancer protein 2)	pen-2 CG33198	101	Drosophila melanogaster (Fruit fly)	7227	PF10251;	
Q86BJ3		UST_DROME	reviewed	Uronyl 2-sulfotransferase homolog pip (UST) (EC 2.8.2.-) (Heparan sulfate 2-O-sulfotransferase pipe) (Protein pipe)	pip CG9614	514	Drosophila melanogaster (Fruit fly)	7227	PF03567;	SSF52540;
Q86BN8		PTPM1_DROME	reviewed	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (EC 3.1.3.27) (PTEN-like phosphatase) (PTEN-like protein) (Protein-tyrosine phosphatase mitochondrial 1-like protein) (EC 3.1.3.16, EC 3.1.3.48)	PTPMT1 Plip CG10371	200	Drosophila melanogaster (Fruit fly)	7227	PF00782;	SSF52799;
Q86BY9		RIG_DROME	reviewed	Gem-associated protein 5 (Gemin5) (Protein rigor mortis)	rig Gem5 CG30149	1235	Drosophila melanogaster (Fruit fly)	7227	PF23770;PF23775;PF23774;	SSF50978;
Q86NP2		NELFA_DROME	reviewed	Negative elongation factor A	Nelf-A CG5874	1251	Drosophila melanogaster (Fruit fly)	7227	PF23553;	
Q86PC9		TULP_DROME	reviewed	Protein king tubby	ktub Tulp CG9398	460	Drosophila melanogaster (Fruit fly)	7227	PF01167;	SSF54518;
Q86PD7		QPCT2_DROME	reviewed	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Iso glutaminyl cyclase)	isoQC CG32426 CG5976	354	Drosophila melanogaster (Fruit fly)	7227	PF04389;	SSF53187;
Q86S05		LIG_DROME	reviewed	Protein lingerer	lig CG8715	1375	Drosophila melanogaster (Fruit fly)	7227	PF12478;	SSF46934;
Q8I0G5		COPG_DROME	reviewed	Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)	gammaCOP copg gamma-Cop CG1528	883	Drosophila melanogaster (Fruit fly)	7227	PF01602;PF16381;PF08752;	SSF48371;SSF49348;SSF55711;
Q8I0P1		SPAST_DROME	reviewed	Spastin (EC 5.6.1.1) (D-Spastin) (Dm-Spastin) (Dspastin)	spas CG5977	758	Drosophila melanogaster (Fruit fly)	7227	PF00004;PF17862;PF09336;	SSF52540;
Q8I7C3		LASP1_DROME	reviewed	LIM and SH3 domain protein Lasp	Lasp CG3849	657	Drosophila melanogaster (Fruit fly)	7227	PF00412;PF00880;PF00018;	SSF57716;SSF50044;
Q8I7Z8		HAM_DROME	reviewed	Transcription factor hamlet	ham CG31753	990	Drosophila melanogaster (Fruit fly)	7227	PF00096;PF13912;	SSF57667;
Q8I8U7		TRA1_DROME	reviewed	Transcription-associated protein 1 (dTRA1)	Nipped-A Tra1 CG2905	3790	Drosophila melanogaster (Fruit fly)	7227	PF02259;PF02260;PF00454;PF20175;PF20206;	SSF48371;SSF56112;
Q8I8V0		TAD2B_DROME	reviewed	Transcriptional adapter 2b (dADA2b)	Ada2b Ada2S CG9638	555	Drosophila melanogaster (Fruit fly)	7227	PF00249;PF22941;PF24533;PF25299;	SSF46689;SSF57850;
Q8IA42		GALT4_DROME	reviewed	N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4) (pp-GaNTase 4)	Pgant4 CG31956	644	Drosophila melanogaster (Fruit fly)	7227	PF00535;PF00652;	SSF53448;SSF50370;
Q8IA43		GLT10_DROME	reviewed	Putative polypeptide N-acetylgalactosaminyltransferase 10 (pp-GaNTase 10) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 10) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10)	pgant10 CG31776	630	Drosophila melanogaster (Fruit fly)	7227	PF00535;PF00652;	SSF53448;SSF50370;
Q8IGJ0		EFR3_DROME	reviewed	Protein EFR3 homolog cmp44E (Conserved membrane protein at 44E) (Protein stambha A)	stmA cmp44E CG8739	834	Drosophila melanogaster (Fruit fly)	7227	PF21052;	SSF48371;
Q8IH18		4ET_DROME	reviewed	Eukaryotic translation initiation factor 4E transporter (4E-T) (Dm4E-T) (eIF4E transporter)	4E-T CG32016	1010	Drosophila melanogaster (Fruit fly)	7227	PF10477;	
Q8IMA8		PANG2_DROME	reviewed	Protein pangolin, isoform J (dTCF)	pan TCF CG34403	1192	Drosophila melanogaster (Fruit fly)	7227	PF00505;	SSF47095;
Q8IMC6		ASATR_DROME	reviewed	Tau-tubulin kinase homolog Asator (EC 2.7.11.1)	Asator CG11533	1262	Drosophila melanogaster (Fruit fly)	7227	PF00069;	SSF56112;
Q8IMX7		MIRO_DROME	reviewed	Mitochondrial Rho GTPase (Miro) (dMiro) (EC 3.6.5.-)	Miro CG5410	652	Drosophila melanogaster (Fruit fly)	7227	PF08355;PF08356;PF00071;	SSF47473;SSF52540;
Q8IMZ9		WFS1_DROME	reviewed	Wolframin	wfs1 CG4917	853	Drosophila melanogaster (Fruit fly)	7227	PF20053;PF19913;PF19914;PF20023;	
Q8IN35		SIFAR_DROME	reviewed	Neuropeptide SIFamide receptor	SIFaR SIFR CG10823	758	Drosophila melanogaster (Fruit fly)	7227	PF00001;	SSF81321;
Q8IN44		TOTA_DROME	reviewed	Protein Turandot A	TotA CG31509	129	Drosophila melanogaster (Fruit fly)	7227	PF07240;	
Q8IN81		FRU_DROME	reviewed	Sex determination protein fruitless	fru BTB-VI CG14307	955	Drosophila melanogaster (Fruit fly)	7227	PF00651;	SSF57667;SSF54695;
Q8IN94		OSA_DROME	reviewed	Trithorax group protein osa (Protein eyelid)	osa eld CG7467	2716	Drosophila melanogaster (Fruit fly)	7227	PF01388;PF12031;	SSF46774;SSF48371;
Q8INB9		AKT1_DROME	reviewed	RAC serine/threonine-protein kinase (DAkt) (DRAC-PK) (Dakt1) (EC 2.7.11.1) (Protein kinase B) (PKB)	Akt Akt1 CG4006	611	Drosophila melanogaster (Fruit fly)	7227	PF00169;PF00069;PF00433;	SSF50729;SSF56112;
Q8INF0		GCY8E_DROME	reviewed	Soluble guanylate cyclase 88E (EC 4.6.1.2)	Gyc88E CG4154	1097	Drosophila melanogaster (Fruit fly)	7227	PF00211;PF07700;PF07701;	SSF111126;SSF55073;
Q8INF7		DAAF5_DROME	reviewed	Dynein axonemal assembly factor 5 (HEAT repeat-containing protein 2 homolog)	Dnaaf5 HEATR2 CG31320	845	Drosophila melanogaster (Fruit fly)	7227	PF24573;PF25757;	SSF48371;
Q8INI8		HSP72_DROME	reviewed	Major heat shock 70 kDa protein Ba (Heat shock protein 70Ba) (HSP70-87C1)	Hsp70Ba CG31449	641	Drosophila melanogaster (Fruit fly)	7227	PF00012;	SSF53067;SSF100934;SSF100920;
Q8INK6		PGPLB_DROME	reviewed	Peptidoglycan-recognition protein LB (EC 3.5.1.28)	PGRP-LB CG14704	232	Drosophila melanogaster (Fruit fly)	7227	PF01510;	SSF55846;
Q8INK9		MSRB_DROME	reviewed	Methionine-R-sulfoxide reductase B1 (EC 1.8.4.12) (Selenoprotein R)	SelR MsrB MsrB1 CG6584	208	Drosophila melanogaster (Fruit fly)	7227	PF01641;	SSF51316;
Q8INR6		DOT1L_DROME	reviewed	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (dDOT1L) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Protein grappa)	gpp CG10272	1848	Drosophila melanogaster (Fruit fly)	7227	PF08123;	SSF53335;
Q8IPH9		SLOB_DROME	reviewed	Slowpoke-binding protein	Slob CG43756	515	Drosophila melanogaster (Fruit fly)	7227		SSF56112;
Q8IPJ3		LUBEL_DROME	reviewed	E3 ubiquitin-protein ligase lubel (EC 2.3.2.31) (Linear Ubiquitin E3 ligase)	LUBEL CG11321	2892	Drosophila melanogaster (Fruit fly)	7227	PF18091;PF01485;PF22191;PF16678;	SSF57850;
Q8IPM8		CPLX_DROME	reviewed	Complexin	cpx CG32490	142	Drosophila melanogaster (Fruit fly)	7227	PF05835;	SSF58038;
Q8IPW2		NCK_DROME	reviewed	SH2/SH3 adapter protein dreadlocks	dock 2L19 dck Dm0447 doc Nck CG3727	548	Drosophila melanogaster (Fruit fly)	7227	PF00017;PF00018;	SSF55550;SSF50044;
Q8IPX7		EXOS3_DROME	reviewed	Exosome complex component RRP40 (Ribosomal RNA-processing protein 40)	Rrp40 CG31938	232	Drosophila melanogaster (Fruit fly)	7227	PF15985;PF18311;PF21262;	SSF54791;SSF50249;SSF110324;
Q8IPZ3		RT4I1_DROME	reviewed	NAD(P)H oxidoreductase RTN4IP1, mitochondrial (EC 1.6.5.2) (Reticulon-4-interacting protein 1 homolog) (dRtn4ip1)	Rtn4ip1 CG17221	413	Drosophila melanogaster (Fruit fly)	7227	PF08240;PF13602;	SSF50129;SSF51735;
Q8IQ27		UBP2_DROME	reviewed	Ubiquitin carboxyl-terminal hydrolase Usp2 (EC 3.4.19.12) (Ubiquitin specific protease 2)	Usp2 CG14619	938	Drosophila melanogaster (Fruit fly)	7227	PF00443;	SSF54001;
Q8IQ70		MCU_DROME	reviewed	Calcium uniporter protein, mitochondrial (Mitochondrial calcium uniporter)	MCU CG18769	366	Drosophila melanogaster (Fruit fly)	7227	PF04678;	
Q8IQF1		MOCS1_DROME	reviewed	Molybdenum cofactor biosynthesis protein 1 [Includes: GTP 3',8-cyclase (EC 4.1.99.22) (MOCS1A) (Molybdenum cofactor biosynthesis protein A); Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (MOCS1B) (Molybdenum cofactor biosynthesis protein C)]	Mocs1 lxd CG33048	565	Drosophila melanogaster (Fruit fly)	7227	PF01967;PF06463;PF04055;	SSF55040;SSF102114;
Q8IQG1		MOB2_DROME	reviewed	MOB kinase activator-like 2 (Mob as tumor suppressor protein 2) (Dmob2) (Mps one binder kinase activator-like 2)	Mob2 CG11711	566	Drosophila melanogaster (Fruit fly)	7227	PF03637;	SSF101152;
Q8IQG9		KAD1_DROME	reviewed	Adenylate kinase 1 (EC 2.7.4.3) (ATP-AMP transphosphorylase Ak1)	Ak1 Adk1 Dak1 CG17146	229	Drosophila melanogaster (Fruit fly)	7227	PF00406;	SSF52540;
Q8IQQ4		GORAB_DROME	reviewed	RAB6-interacting golgin	Gorab CG33052	338	Drosophila melanogaster (Fruit fly)	7227	PF04949;	
Q8IR79		LIMK1_DROME	reviewed	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1) (dLIMK)	LIMK1 LIMK CG1848	1257	Drosophila melanogaster (Fruit fly)	7227	PF00412;PF00595;PF07714;	SSF57716;SSF50156;SSF56112;
Q8IRB5		CLSPN_DROME	reviewed	Claspin	Claspin CG32251	1465	Drosophila melanogaster (Fruit fly)	7227		
Q8IRC7		AWH_DROME	reviewed	LIM/homeobox protein Awh (Protein arrowhead)	Awh CG1072	275	Drosophila melanogaster (Fruit fly)	7227	PF00046;PF00412;	SSF57716;SSF46689;
Q8IRG6		SPT16_DROME	reviewed	FACT complex subunit spt16 (Facilitates chromatin transcription complex subunit SPT16) (dSPT16)	dre4 spt16 CG1828	1083	Drosophila melanogaster (Fruit fly)	7227	PF14826;PF00557;PF24824;PF08512;PF08644;PF21091;	SSF55920;
Q8IRH5		INDRA_DROME	reviewed	Zinc finger protein indra	indra CG2199	733	Drosophila melanogaster (Fruit fly)	7227	PF00096;	SSF57667;
Q8IRI6		GTR1_DROME	reviewed	Glucose transporter type 1	Glut1 CG43946	1440	Drosophila melanogaster (Fruit fly)	7227	PF00083;	SSF103473;
Q8IRJ8		THOC7_DROME	reviewed	THO complex protein 7	thoc7 CG17143	288	Drosophila melanogaster (Fruit fly)	7227	PF05615;	
Q8IRU4		PDE4E_DROME	reviewed	3',5'-cyclic-AMP phosphodiesterase, isoform F (EC 3.1.4.53) (Learning/memory process protein) (Protein dunce) (cAMP-specific phosphodiesterase, isoform F)	dnc CG32498	662	Drosophila melanogaster (Fruit fly)	7227	PF18100;PF00233;	SSF109604;
Q8IRW8		TRR_DROME	reviewed	Histone-lysine N-methyltransferase trr (EC 2.1.1.354) (Lysine N-methyltransferase 2C) (Trithorax-related protein)	trr KMT2C CG3848	2431	Drosophila melanogaster (Fruit fly)	7227	PF05965;PF05964;PF00856;PF13832;	SSF82199;
Q8IRY7		CASP8_DROME	reviewed	Caspase-8 (EC 3.4.22.61) (Death-related ced-3/NEDD2-like protein) [Cleaved into: Caspase-8 subunit p15; Caspase-8 subunit p10]	Dredd DCP2 CG7486	494	Drosophila melanogaster (Fruit fly)	7227	PF23724;PF23725;PF00656;	SSF52129;
Q8IS44		DRD2L_DROME	reviewed	Dopamine D2-like receptor (DD2R)	Dop2R D2R CG17004	905	Drosophila melanogaster (Fruit fly)	7227	PF00001;	SSF81321;
Q8ITC7		CAPAR_DROME	reviewed	Neuropeptides capa receptor (Cap2b receptor) (Capability receptor)	CapaR CG14575	477	Drosophila melanogaster (Fruit fly)	7227	PF00001;	SSF81321;
Q8ITC9		PK1R_DROME	reviewed	Pyrokinin-1 receptor	PK1-R CG9918	430	Drosophila melanogaster (Fruit fly)	7227	PF00001;	SSF81321;
Q8MKW7		RNZ_DROME	reviewed	Ribonuclease Z, mitochondrial (RNase Z) (EC 3.1.26.11) (Juvenile hormone-inducible protein 1) (dRNAse Z) (tRNA 3 endonuclease) (DmeZ) (tRNase Z)	RNaseZ JhI-1 CG3298	766	Drosophila melanogaster (Fruit fly)	7227	PF23023;PF13691;	SSF56281;
Q8ML92		AVE_DROME	reviewed	Protein aveugle	ave CG30476	106	Drosophila melanogaster (Fruit fly)	7227	PF07647;	SSF47769;
Q8MLV1		LBR_DROME	reviewed	Lamin-B receptor (dLBR)	LBR CG17952	741	Drosophila melanogaster (Fruit fly)	7227	PF01222;	
Q8MLZ7		IDGF3_DROME	reviewed	Chitinase-like protein Idgf3 (Imaginal disk growth factor protein 3)	Idgf3 CG4559	441	Drosophila melanogaster (Fruit fly)	7227	PF00704;	SSF51445;SSF54556;
Q8MM24		IDGF1_DROME	reviewed	Chitinase-like protein Idgf1 (Imaginal disk growth factor protein 1)	Idgf1 CG4472	439	Drosophila melanogaster (Fruit fly)	7227	PF00704;	SSF51445;SSF54556;
Q8MPP0		NIJA_DROME	reviewed	Ninjurin-A (dNINJ-A) [Cleaved into: Secreted ninjurin-A]	NijA ninA CG6449	245	Drosophila melanogaster (Fruit fly)	7227	PF04923;	
Q8MPP3		D2MP_DROME	reviewed	Matrix metalloproteinase-2 (Dm2-MMP) (EC 3.4.24.-)	Mmp2 CG1794	758	Drosophila melanogaster (Fruit fly)	7227	PF00045;PF00413;	SSF50923;SSF55486;SSF47090;
Q8MQJ9		BRAT_DROME	reviewed	Protein brain tumor	brat CG10719	1037	Drosophila melanogaster (Fruit fly)	7227	PF01436;PF00643;	SSF57845;SSF101898;
Q8MQW8		SPRI_DROME	reviewed	Protein sprint (SH2 poly-proline-containing Ras-interactor protein)	spri CG33175 CG34414	1789	Drosophila melanogaster (Fruit fly)	7227	PF00788;PF23268;PF00017;PF02204;	SSF55550;SSF109993;
Q8MQX9		ANKL2_DROME	reviewed	Ankyrin repeat and LEM domain-containing protein 2 homolog	Ankle2 l(1)G0222 l(1)G0316 CG8465	1174	Drosophila melanogaster (Fruit fly)	7227	PF00023;PF24567;	SSF48403;
Q8MRC9		GALT9_DROME	reviewed	Putative polypeptide N-acetylgalactosaminyltransferase 9 (pp-GaNTase 9) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 9) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 9)	Pgant9 CG30463	650	Drosophila melanogaster (Fruit fly)	7227	PF00535;PF00652;	SSF53448;SSF50370;
Q8MRW5		ET96B_DROME	reviewed	ETV5-related protein Ets96B	Ets96B CG6892	640	Drosophila melanogaster (Fruit fly)	7227	PF00178;	SSF46785;
Q8MS59		WAT_DROME	reviewed	Fatty acyl-CoA reductase wat (Protein waterproof) (EC 1.2.1.84)	wat CG1443	517	Drosophila melanogaster (Fruit fly)	7227	PF07993;PF03015;	SSF51735;
Q8MSS1		LVA_DROME	reviewed	Protein lava lamp	lva CG6450	2779	Drosophila melanogaster (Fruit fly)	7227		
Q8MSU4		SYMPK_DROME	reviewed	Symplekin	Sym CG2097	1165	Drosophila melanogaster (Fruit fly)	7227	PF11935;PF12295;	SSF48371;
Q8MSV2		SHEP_DROME	reviewed	Protein alan shepard	shep CG32423	590	Drosophila melanogaster (Fruit fly)	7227	PF00076;	SSF54928;
Q8MSX1		ENC_DROME	reviewed	Protein encore	enc CG10847	1818	Drosophila melanogaster (Fruit fly)	7227	PF01424;PF12752;	SSF82708;
Q8MSX2		MED6_DROME	reviewed	Mediator of RNA polymerase II transcription subunit 6 (Mediator complex subunit 6) (dMED6)	MED6 CG9473	249	Drosophila melanogaster (Fruit fly)	7227	PF04934;	
Q8MT06		GNL3_DROME	reviewed	Guanine nucleotide-binding protein-like 3 homolog (Nucleostemin 1) (Nucleostemin homolog)	Ns1 CG3983	581	Drosophila melanogaster (Fruit fly)	7227	PF08701;PF01926;	SSF52540;
Q8MT36		NSD_DROME	reviewed	Nuclear receptor binding SET domain protein (EC 2.1.1.357) (Maternal-effect sterile 4 homolog) (Probable histone-lysine N-methyltransferase Mes-4)	NSD Mes-4 CG4976	1427	Drosophila melanogaster (Fruit fly)	7227	PF17907;PF23004;PF00855;PF00856;	SSF57903;SSF82199;SSF63748;
Q8MUJ1		EIGER_DROME	reviewed	Tumor necrosis factor family member eiger (Protein eiger) [Cleaved into: Protein eiger, membrane form; Protein eiger, soluble form]	egr Darth CG12919	415	Drosophila melanogaster (Fruit fly)	7227	PF00229;	SSF49842;
Q8MV48		GALT7_DROME	reviewed	N-acetylgalactosaminyltransferase 7 (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 7) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7) (pp-GaNTase 7) (dGalNAc-T2)	Pgant7 GalNAc-T2 CG6394	591	Drosophila melanogaster (Fruit fly)	7227	PF00535;PF00652;	SSF53448;SSF50370;
Q8MVS5		GLT35_DROME	reviewed	Polypeptide N-acetylgalactosaminyltransferase 35A (EC 2.4.1.41) (Protein l(2)35Aa) (Protein-UDP acetylgalactosaminyltransferase 35A) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 35A) (pp-GaNTase 35A) (dGalNAc-T1)	Pgant35A CG7480	632	Drosophila melanogaster (Fruit fly)	7227	PF00535;PF00652;	SSF53448;SSF50370;
Q8MYL1		FACD2_DROME	reviewed	Fanconi anemia group D2 protein homolog (Protein FACD2)	Fancd2 CG31192 CG31194 FAD CG17269	1478	Drosophila melanogaster (Fruit fly)	7227	PF14631;	SSF48371;
Q8MYY6		GLT13_DROME	reviewed	Putative polypeptide N-acetylgalactosaminyltransferase 13 (pp-GaNTase 13) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 13) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 13)	pgant13 CG10000	558	Drosophila melanogaster (Fruit fly)	7227	PF00535;PF00652;	SSF53448;SSF50370;
Q8ST83		PHO_DROME	reviewed	Polycomb protein PHO (Protein pleiohomeotic) (Transcription factor YY1 homolog)	pho CG17743	520	Drosophila melanogaster (Fruit fly)	7227	PF00096;	SSF57667;
Q8SWR8		ATX2_DROME	reviewed	Ataxin-2 homolog (Datx2)	Atx2 CG5166	1084	Drosophila melanogaster (Fruit fly)	7227	PF06741;PF14438;	
Q8SWV6		FICD_DROME	reviewed	Protein adenylyltransferase Fic (dFic) (EC 2.7.7.108) (De-AMPylase Fic) (EC 3.1.4.-)	Fic CG9523	492	Drosophila melanogaster (Fruit fly)	7227	PF02661;	SSF140931;SSF48452;
Q8SWX0		ASTRX_DROME	reviewed	Gametocyte-specific factor 1 homolog (Protein asterix)	arx Gtsf1 CG3893	167	Drosophila melanogaster (Fruit fly)	7227	PF05253;	SSF57667;
Q8SX37		CDIPT_DROME	reviewed	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (CDIPT) (EC 2.7.8.11) (Phosphatidylinositol synthase)	Pis CG9245	224	Drosophila melanogaster (Fruit fly)	7227	PF01066;	
Q8SX68		CT2NL_DROME	reviewed	CTTNBP2 N-terminal-like protein (Protein Nausicaa)	Naus CG10915	609	Drosophila melanogaster (Fruit fly)	7227	PF09727;	
Q8SX81		VPS11_DROME	reviewed	Vacuolar protein sorting-associated protein 11 homolog	Vps11 CG32350	830	Drosophila melanogaster (Fruit fly)	7227	PF23341;PF23356;	SSF57850;
Q8SX83		SPEN_DROME	reviewed	Protein split ends	spen CG18497	5560	Drosophila melanogaster (Fruit fly)	7227	PF00076;	SSF54928;SSF100939;
Q8SX86		NUTC_DROME	reviewed	Protein nutcracker	ntc CG10855	314	Drosophila melanogaster (Fruit fly)	7227	PF00646;	SSF81383;
Q8SXL2		CCHA2_DROME	reviewed	Neuropeptide CCHamide-2	CCHa2 CG14375	136	Drosophila melanogaster (Fruit fly)	7227		
Q8SXQ7		PGPLF_DROME	reviewed	Peptidoglycan-recognition protein LF (PGRP-like protein)	PGRP-LF CG4437	369	Drosophila melanogaster (Fruit fly)	7227	PF01510;	SSF55846;
Q8SXY6		TMEDA_DROME	reviewed	Transmembrane emp24 domain-containing protein bai (Protein baiser)	bai CG11785	206	Drosophila melanogaster (Fruit fly)	7227	PF01105;	
Q8SY33		GAWKY_DROME	reviewed	Protein Gawky	gw GW182 CG31992	1384	Drosophila melanogaster (Fruit fly)	7227	PF10427;PF12938;PF00627;	SSF54928;SSF46934;
Q8SYK5		INSV_DROME	reviewed	Protein insensitive	insv CG3227	376	Drosophila melanogaster (Fruit fly)	7227	PF10523;	
Q8T045		RUMI_DROME	reviewed	O-glucosyltransferase rumi (EC 2.4.1.-)	rumi CG31152	411	Drosophila melanogaster (Fruit fly)	7227	PF05686;	
Q8T053		KIPF_DROME	reviewed	Zinc finger protein kipf (Protein kipferl)	kipf anon-84Eb CG2678	434	Drosophila melanogaster (Fruit fly)	7227	PF07776;PF00096;PF13894;	SSF57667;SSF57716;
Q8T062		NEP4_DROME	reviewed	Neprilysin-4 (EC 3.4.24.11)	Nep4 CG4058	1040	Drosophila melanogaster (Fruit fly)	7227	PF01431;PF05649;	SSF55486;
Q8T079		GLYR1_DROME	reviewed	Cytokine-like nuclear factor N-PAC (NPAC) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60 homolog) (Nucleosome-destabilizing factor) (Putative oxidoreductase GLYR1 homolog)	Ndf CG4747	602	Drosophila melanogaster (Fruit fly)	7227	PF14833;PF03446;PF00855;	SSF48179;SSF51735;SSF63748;
Q8T0D4		TANT_DROME	reviewed	Protein tantalus	tant tan CG6586	299	Drosophila melanogaster (Fruit fly)	7227	PF15386;	
Q8T0G4		CONU_DROME	reviewed	Rho GTPase-activating protein conundrum	conu CG17082	629	Drosophila melanogaster (Fruit fly)	7227	PF00620;	SSF48350;
Q8T0Q4		CHM4_DROME	reviewed	Charged multivesicular body protein 4 (CHMP4) (ESCRT-III complex core component shrb) (Protein Shrub)	shrb Shrub Snf7 Vps32 CG8055	226	Drosophila melanogaster (Fruit fly)	7227	PF03357;	
Q8T0S6		HIPPO_DROME	reviewed	Serine/threonine-protein kinase hippo (EC 2.7.11.1) (Drosophila homolog of MST1 and MST2) (STE20-like kinase MST) (dMST)	hpo CG11228	669	Drosophila melanogaster (Fruit fly)	7227	PF11629;PF00069;	SSF56112;
Q8T390		SH3G3_DROME	reviewed	Endophilin-A (SH3 domain-containing GRB2-like protein)	EndoA endo CG14296	369	Drosophila melanogaster (Fruit fly)	7227	PF03114;PF00018;	SSF103657;SSF50044;
Q8T3Y0		SINAL_DROME	reviewed	Probable E3 ubiquitin-protein ligase sinah (EC 2.3.2.27) (RING-type E3 ubiquitin transferase sinah) (Sina homolog)	sinah CG13030	351	Drosophila melanogaster (Fruit fly)	7227	PF21362;PF03145;PF21361;	SSF57850;SSF49599;
Q8T498		GAP2_DROME	reviewed	Ras GTPase-activating protein raskol	raskol CG42684	1580	Drosophila melanogaster (Fruit fly)	7227	PF00168;PF12004;PF25321;PF00616;	SSF49562;SSF48350;SSF50729;
Q8T4F7		ENA_DROME	reviewed	Protein enabled	ena enb CG15112	980	Drosophila melanogaster (Fruit fly)	7227	PF08776;PF00568;	SSF50729;SSF118370;
Q8T626		DLT_DROME	reviewed	Protein disks lost (Codanin 1 homolog) (Protein vanaso)	dlt VA CG32315	1240	Drosophila melanogaster (Fruit fly)	7227	PF15296;	
Q8T6B9		PUF68_DROME	reviewed	Poly(U)-binding-splicing factor hfp (68 kDa poly(U)-binding-splicing factor) (PUF60 homolog) (Protein half pint)	hfp pUf68 CG12085	637	Drosophila melanogaster (Fruit fly)	7227	PF00076;	SSF54928;
Q8T8R1		CNBP_DROME	reviewed	CCHC-type zinc finger nucleic acid binding protein (CCHC-type zinc finger protein CG3800)	CNBP CG3800	165	Drosophila melanogaster (Fruit fly)	7227	PF00098;	SSF57756;
