entry	pos	evidence	id	note	origin
P31409	1-490		PRO_0000144632	V-type proton ATPase subunit B	chain
P32023	1-934		PRO_0000086122	cGMP-dependent protein kinase, isozyme 2 forms cD5	chain
P32027	1-508		PRO_0000091909	Fork head domain-containing protein crocodile	chain
P32028	1-372		PRO_0000091912	Fork head domain-containing protein FD4	chain
P32029	1-271		PRO_0000091913	Fork head domain-containing protein FD5	chain
P32030	1-322		PRO_0000091914	Fork head domain transcription factor slp1	chain
P32031	1-451		PRO_0000091915	Fork head domain transcription factor slp2	chain
P32100	1-252		PRO_0000104638	Large ribosomal subunit protein uL30	chain
P32234	1-368		PRO_0000205430	Guanylate binding protein 128up	chain
P32392	1-418		PRO_0000089087	Actin-related protein 3	chain
P32748	?-405		PRO_0000029887	Dihydroorotate dehydrogenase (quinone), mitochondrial	chain
P32845	1-213		PRO_0000057996	Protein nullo	chain
P32865	1-700		PRO_0000085965	G protein-coupled receptor kinase 1	chain
P32866	1-714		PRO_0000085966	G protein-coupled receptor kinase 2	chain
P32870	1-2248		PRO_0000195716	Adenylate cyclase 1	chain
P33085	1-372		PRO_0000208500	Innexin shaking-B	chain
P33244	1-1027		PRO_0000053739	Nuclear hormone receptor FTZ-F1	chain
P33269	1-512		PRO_0000051832	Cytochrome P450 4d1	chain
P33270	1-506		PRO_0000051866	Cytochrome P450 6a2	chain
P33438	18-1026		PRO_0000008639	Glutactin	chain
P33450	36-5147		PRO_0000004015	Cadherin-related tumor suppressor	chain
P33450	?-5147	ECO:0000269|PubMed:25215488	PRO_0000434022	Ft-mito	chain
P34021	1-878		PRO_0000053524	Ecdysone receptor	chain
P34082	29-873		PRO_0000014758	Fasciclin-2	chain
P34739	1-1061		PRO_0000074378	Transcription termination factor 2	chain
P35004	31-253		PRO_0000028266	Trypsin beta	chain
P35005	31-256		PRO_0000028274	Trypsin epsilon	chain
P35122	1-227		PRO_0000211072	Ubiquitin carboxyl-terminal hydrolase	chain
P35128	1-151		PRO_0000082521	Ubiquitin-conjugating enzyme E2 N	chain
P35220	1-917		PRO_0000064260	Catenin alpha	chain
P35381	48-552		PRO_0000002429	ATP synthase subunit alpha, mitochondrial	chain
P35415	1-879		PRO_0000211249	Paramyosin, long form	chain
P35416	1-640		PRO_0000211250	Paramyosin, short form	chain
P35421	1-1354		PRO_0000100403	Phosphoribosylformylglycinamidine synthase	chain
P35500	1-2131		PRO_0000048515	Sodium channel protein para	chain
P35554	1-182		PRO_0000087363	Flightin	chain
P35600	1-986		PRO_0000121774	Replication factor C subunit 1	chain
P35820	1-1601		PRO_0000056388	Polycomb group protein Psc	chain
P35832	29-1301		PRO_0000025429	Tyrosine-protein phosphatase 99A	chain
P35875	1-994		PRO_0000211325	Poly [ADP-ribose] polymerase 1	chain
P35992	43-1990		PRO_0000025427	Tyrosine-protein phosphatase 10D	chain
P36179	2-591		PRO_0000071408	Serine	chain
P36188	2-269		PRO_0000186159	Troponin I	chain
P36192	53-92		PRO_0000006743	Defensin	chain
P36241	1-203		PRO_0000131178	Large ribosomal subunit protein eL19	chain
P36872	1-499		PRO_0000071437	Protein phosphatase PP2A 55 kDa regulatory subunit	chain
P36951	1-264		PRO_0000013610	Putative hydroxypyruvate isomerase	chain
P36958	1-129		PRO_0000121470	DNA-directed RNA polymerase II subunit RPB9	chain
P36975	1-212		PRO_0000213594	Synaptosomal-associated protein 25	chain
P37159	19-140		PRO_0000018513	Lysozyme E	chain
P37160	20-140		PRO_0000018515	Lysozyme S	chain
P37161	20-142		PRO_0000018516	Lysozyme X	chain
P37193	?-172		PRO_0000000993	Adrenodoxin-like protein 1, mitochondrial	chain
P37236	2-187		PRO_0000073800	Frequenin-1	chain
P37276	1-4639		PRO_0000114636	Dynein heavy chain, cytoplasmic	chain
P38040	1-67		PRO_0000012677	Guanine nucleotide-binding protein subunit gamma-1	chain
P38979	1-270		PRO_0000134353	Small ribosomal subunit protein uS2	chain
P39018	2-156		PRO_0000153824	Small ribosomal subunit protein eS19A	chain
P39205	1-601		PRO_0000170962	Molybdenum cofactor synthesis protein cinnamon	chain
P39413	1-308		PRO_0000046908	Adult enhancer factor 1	chain
P39572	1-448		PRO_0000076637	Protein giant	chain
P39736	1-547		PRO_0000084813	Puff-specific protein Bx42	chain
P39768	1-609		PRO_0000047015	Pair-rule protein odd-paired	chain
P39769	1-1589		PRO_0000058406	Polyhomeotic-proximal chromatin protein	chain
P39770	1-1365		PRO_0000047018	Homeotic protein spalt-major	chain
P40139	25-112		PRO_0000021811	Protein new-glue 2	chain
P40140	24-146		PRO_0000021812	Protein new-glue 3	chain
P40141	17-57		PRO_0000021813	Protein new-glue 4	chain
P40301	1-234		PRO_0000124083	Proteasome subunit alpha type-2	chain
P40304	21-235		PRO_0000148036	Proteasome subunit beta type-1	chain
P40320	1-408		PRO_0000174446	S-adenosylmethionine synthase	chain
P40417	1-376		PRO_0000186309	Mitogen-activated protein kinase ERK-A	chain
P40421	1-661		PRO_0000058903	Serine	chain
P40423	1-174		PRO_0000198747	Myosin regulatory light chain sqh	chain
P40427	1-376		PRO_0000048875	Homeobox protein extradenticle	chain
P40589	22-539		PRO_0000041478	Protein Wnt-4	chain
P40656	1-669		PRO_0000048803	Putative transcription factor SOX-14	chain
P40657	1-784		PRO_0000048804	Putative transcription factor SOX-15	chain
P40688	1-548		PRO_0000072342	Protein swallow	chain
P40689	20-353		PRO_0000022599	Torso-like protein	chain
P40791	1-540		PRO_0000199427	Myocyte-specific enhancer factor 2	chain
P40792	1-189		PRO_0000198893	Ras-related protein Rac1	chain
P40793	1-188		PRO_0000198958	Cdc42 homolog	chain
P40794	1-303		PRO_0000064966	Protein bottleneck	chain
P40795	22-730		PRO_0000021283	Protein folded gastrulation	chain
P40795	57-167	ECO:0000255	PRO_0000021284	G protein-coupled receptor ligand	chain
P40796	1-390		PRO_0000207606	La protein homolog	chain
P40797	1-539		PRO_0000173510	Protein peanut	chain
P40798	1-1106		PRO_0000056190	Protein shuttle craft	chain
P40807	1-394		PRO_0000149899	Ornithine decarboxylase 1	chain
P40808	1-393		PRO_0000149900	Ornithine decarboxylase 2	chain
P40809	1-384		PRO_0000080966	GTPase-activating protein RacGAP84C	chain
P40945	2-180		PRO_0000207443	ADP ribosylation factor 4	chain
P40946	2-175		PRO_0000207444	ADP-ribosylation factor 6	chain
P41042	1-261		PRO_0000130829	Small ribosomal subunit protein eS4	chain
P41043	1-249		PRO_0000185917	Glutathione S-transferase S1	chain
P41044	1-310		PRO_0000073477	Calbindin-32	chain
P41046	1-550		PRO_0000079256	Centrosomal and chromosomal factor	chain
P41073	1-716		PRO_0000047016	Zinc finger protein on ecdysone puffs	chain
P41092	1-149		PRO_0000104886	Large ribosomal subunit protein uL15	chain
P41093	1-177		PRO_0000213932	Large ribosomal subunit protein eL20	chain
P41094	1-152		PRO_0000132220	Small ribosomal subunit protein uS13	chain
P41126	1-218		PRO_0000192925	Large ribosomal subunit protein eL13	chain
P41374	1-341		PRO_0000137387	Eukaryotic translation initiation factor 2 subunit 1	chain
P41375	1-312		PRO_0000137409	Eukaryotic translation initiation factor 2 subunit 2	chain
P41572	1-481		PRO_0000090069	6-phosphogluconate dehydrogenase, decarboxylating	chain
P41596	20-511		PRO_0000012718	Dopamine receptor 1	chain
P41894	1-384		PRO_0000127167	Helix-loop-helix protein delilah	chain
P41900	1-277		PRO_0000211239	General transcription factor IIF subunit 2	chain
P41964	27-70		PRO_0000007039	Drosomycin	chain
P42003	1-455		PRO_0000090878	Protein mothers against dpp	chain
P42124	1-760		PRO_0000213989	Histone-lysine N-methyltransferase E(z)	chain
P42207	1-361		PRO_0000173511	Septin-1	chain
P42271	1-457		PRO_0000048455	Tubulin gamma-2 chain	chain
P42278	35-262		PRO_0000028280	Trypsin theta	chain
P42279	28-262		PRO_0000028284	Trypsin eta	chain
P42280	39-280		PRO_0000028288	Trypsin zeta	chain
P42281	1-86		PRO_0000214010	Acyl-CoA-binding protein homolog	chain
P42282	1-813		PRO_0000047078	Protein tramtrack, alpha isoform	chain
P42283	1-891		PRO_0000047072	Longitudinals lacking protein, isoform G	chain
P42284	1-549		PRO_0000047073	Longitudinals lacking protein, isoforms H	chain
P42286	1-1379		PRO_0000072526	Protein three rows	chain
P42287	27-295		PRO_0000007607	Protein gurken	chain
P42325	2-190		PRO_0000073801	Neurocalcin homolog	chain
P42519	1-597		PRO_0000072241	Protein Star	chain
P42570	1-174		PRO_0000067057	DNA replication inhibitor plutonium	chain
P42787	26-1406		PRO_0000004405	Carboxypeptidase D	chain
P43125	1-1259		PRO_0000097209	Protein retinal degeneration B	chain
P43248	1-917		PRO_0000115186	DNA mismatch repair protein spellchecker 1	chain
P43332	1-216		PRO_0000081890	U1 small nuclear ribonucleoprotein A	chain
P45437	1-964		PRO_0000193837	Coatomer subunit beta	chain
P45447	1-862		PRO_0000053511	Ecdysone-induced protein 78C	chain
P45594	1-148		PRO_0000214916	Cofilin	chain
P45843	1-666		PRO_0000093378	Protein scarlet	chain
P45884	35-224		PRO_0000004894	Attacin-A	chain
P45888	1-399		PRO_0000089075	Actin-related protein 2	chain
P45889	1-376		PRO_0000089063	Actin-related protein 1	chain
P45890	1-398		PRO_0000089108	Actin-related protein 6	chain
P45891	1-376		PRO_0000089062	Actin-like protein 53D	chain
P45975	1-635		PRO_0000186061	Histone-lysine N-methyltransferase Su(var)3-9	chain
P46150	1-578		PRO_0000219425	Moesin	chain
P46222	1-184		PRO_0000125089	Large ribosomal subunit protein uL5	chain
P46223	1-271		PRO_0000136755	Large ribosomal subunit protein eL8	chain
P46415	2-379		PRO_0000160769	Alcohol dehydrogenase class-3	chain
P46461	1-745		PRO_0000084566	Vesicle-fusing ATPase 1	chain
P46824	1-508		PRO_0000215102	Kinesin light chain	chain
P46863	1-1066		PRO_0000125371	Kinesin-like protein Klp61F	chain
P46867	1-784		PRO_0000125392	Kinesin-like protein Klp68D	chain
P47825	1-921		PRO_0000118870	Transcription initiation factor TFIID subunit 4	chain
P47938	1-107		PRO_0000120032	Thioredoxin-1	chain
P47947	1-154		PRO_0000073686	Troponin C, isoform 1	chain
P47948	1-155		PRO_0000073687	Troponin C, isoform 2	chain
P47949	1-155		PRO_0000073688	Troponin C, isoform 3	chain
P47980	1-436		PRO_0000089172	Protein TIS11	chain
P48148	1-189		PRO_0000198885	Ras-like GTP-binding protein Rho1	chain
P48149	2-130		PRO_0000126609	Small ribosomal subunit protein uS8A	chain
P48159	1-140		PRO_0000128623	Large ribosomal subunit protein uL14	chain
P48375	1-108		PRO_0000075299	Peptidyl-prolyl cis-trans isomerase Fkbp12	chain
P48423	1-1163		PRO_0000056661	GTPase-activating protein	chain
P48451	1-170		PRO_0000073488	Calcineurin subunit B type 1	chain
P48456	1-622		PRO_0000058830	Serine	chain
P48461	1-327		PRO_0000058791	Serine	chain
P48462	1-330		PRO_0000058794	Serine	chain
P48554	1-189		PRO_0000198894	Ras-related protein Rac2	chain
P48555	1-198		PRO_0000082697	Ras-related protein Ral-a	chain
P48588	1-117		PRO_0000192877	Small ribosomal subunit protein eS25	chain
P48591	1-812		PRO_0000187193	Ribonucleoside-diphosphate reductase large subunit	chain
P48592	1-393		PRO_0000190454	Ribonucleoside-diphosphate reductase subunit M2	chain
P48593	1-193		PRO_0000073862	Calcium-binding protein E63-1	chain
P48596	1-324		PRO_0000119482	GTP cyclohydrolase 1	chain
P48598	1-259		PRO_0000193642	Eukaryotic translation initiation factor 4E1	chain
P48601	1-439		PRO_0000084682	26S proteasome regulatory subunit 4	chain
P48602	1-614		PRO_0000144566	V-type proton ATPase catalytic subunit A isoform 1	chain
P48603	1-276		PRO_0000204639	F-actin-capping protein subunit beta	chain
P48604	?-213		PRO_0000013048	GrpE protein homolog, mitochondrial	chain
P48605	1-544		PRO_0000128327	T-complex protein 1 subunit gamma	chain
P48607	221-326		PRO_0000022407	Protein spaetzle C-106	chain
P48607	26-326		PRO_0000022406	Protein spaetzle	chain
P48608	1-1091		PRO_0000194892	Protein diaphanous	chain
P48609	1-294		PRO_0000085788	Cyclin-dependent kinase 5 homolog	chain
P48610	1-356		PRO_0000211992	Arginine kinase 1	chain
P48611	1-168		PRO_0000057918	6-pyruvoyl tetrahydrobiopterin synthase	chain
P48612	1-395		PRO_0000143190	Protein pelota	chain
P48613	1-452		PRO_0000072546	Protein tipE	chain
P48809	1-421		PRO_0000081748	Heterogeneous nuclear ribonucleoprotein 27C	chain
P48810	1-385		PRO_0000081750	Heterogeneous nuclear ribonucleoprotein 87F	chain
P48987	1-312		PRO_0000127142	Protein atonal	chain
P48994	1-1124		PRO_0000215359	Transient-receptor-potential-like protein	chain
P49021	1-1398		PRO_0000022532	Protein timeless	chain
P49028	1-147		PRO_0000174144	Protein mago nashi	chain
P49071	1-359		PRO_0000086291	MAP kinase-activated protein kinase 2	chain
P49258	1-148		PRO_0000073546	Calmodulin-related protein 97A	chain
P49283	1-596		PRO_0000212597	Protein Malvolio	chain
P49415	29-399		PRO_0000033515	Syndecan	chain
P49455	1-518		PRO_0000205685	Tropomyosin-1, isoforms 33	chain
P49630	1-115		PRO_0000195011	Large ribosomal subunit protein eL36	chain
P49657	1-908		PRO_0000086340	Serine	chain
P49735	1-887		PRO_0000194090	DNA replication licensing factor Mcm2	chain
P49762	1-832		PRO_0000085926	Serine	chain
P49846	1-704		PRO_0000051256	Transcription initiation factor TFIID subunit 5	chain
P49847	1-606		PRO_0000118877	Transcription initiation factor TFIID subunit 6	chain
P49858	1-144		PRO_0000122234	Protein cornichon	chain
P49866	1-704		PRO_0000053565	Transcription factor HNF-4 homolog	chain
P49869	1-1073		PRO_0000053725	Probable nuclear hormone receptor HR38	chain
P49905	1-196		PRO_0000033584	Transcription initiation factor TFIID subunit 12	chain
P49906	1-196		PRO_0000118906	Transcription initiation factor TFIID subunit 11	chain
P49963	1-160		PRO_0000135201	Signal recognition particle 19 kDa protein	chain
P50245	1-492		PRO_0000116914	Adenosylhomocysteinase-like 2	chain
P50445	1-335		PRO_0000097536	Cell cycle negative regulator roughex	chain
P50534	1-773		PRO_0000055962	E3 ubiquitin-protein ligase msl-2	chain
P50535	1-1039		PRO_0000096597	Protein male-specific lethal-1	chain
P50536	1-512		PRO_0000080245	Protein male-specific lethal-3	chain
P50882	1-190		PRO_0000131102	Large ribosomal subunit protein uL6	chain
P50887	1-299		PRO_0000215509	Large ribosomal subunit protein eL22	chain
P51023	1-718		PRO_0000204130	ETS-like protein pointed	chain
P51123	1-2129		PRO_0000211216	Transcription initiation factor TFIID subunit 1	chain
P51140	1-623		PRO_0000145740	Segment polarity protein dishevelled	chain
P51406	1-436		PRO_0000186116	Bystin	chain
P51521	1-1351		PRO_0000047010	Transcriptional regulator ovo	chain
P51521	446-1351	ECO:0000305|PubMed:20647469	PRO_0000441819	Transcriptional activator shavenbaby	chain
P51592	1-2885		PRO_0000084107	E3 ubiquitin-protein ligase hyd	chain
P51905	1-622		PRO_0000214761	Sodium-dependent serotonin transporter	chain
P52029	1-558		PRO_0000180543	Glucose-6-phosphate isomerase	chain
P52034	1-788		PRO_0000112031	ATP-dependent 6-phosphofructokinase	chain
P52168	1-540		PRO_0000083460	GATA-binding factor A	chain
P52172	1-1264		PRO_0000083461	Box A-binding factor	chain
P52295	1-522		PRO_0000120733	Importin subunit alpha	chain
P52302	1-653		PRO_0000196182	Protein lethal(3)malignant blood neoplasm 1	chain
P52304	1-576		PRO_0000086578	Serine	chain
P52485	1-232		PRO_0000082520	Ubiquitin-conjugating enzyme E2-24 kDa	chain
P52486	1-199		PRO_0000082522	Ubiquitin-conjugating enzyme E2-22 kDa	chain
P52487	1-153		PRO_0000082524	Ubiquitin-conjugating enzyme E2-18 kDa	chain
P52654	1-262		PRO_0000042591	Transcription initiation factor IIA alpha chain	chain
P52654	1-366		PRO_0000042590	Transcription initiation factor IIA subunit 1	chain
P52654	263-366		PRO_0000042592	Transcription initiation factor IIA beta chain	chain
P52656	1-106		PRO_0000194048	Transcription initiation factor IIA subunit 2	chain
P52905	28-252		PRO_0000028276	Trypsin iota	chain
P53034	1-331		PRO_0000121769	Replication factor C subunit 2	chain
P53403	1-507		PRO_0000050383	Glucose transporter type 3	chain
P53501	3-376		PRO_0000000661	Actin-57B	chain
P53624	1-667		PRO_0000210316	Mannosyl-oligosaccharide alpha-1,2-mannosidase IA	chain
P53777	1-92		PRO_0000075851	Muscle LIM protein 1	chain
P53997	1-269		PRO_0000185665	Protein SET	chain
P54185	20-210		PRO_0000023281	Putative odorant-binding protein A5	chain
P54191	24-148		PRO_0000012586	General odorant-binding protein 69a	chain
P54192	24-150		PRO_0000012587	General odorant-binding protein 19d	chain
P54193	34-154		PRO_0000012588	General odorant-binding protein 83a	chain
P54194	25-175		PRO_0000012589	General odorant-binding protein 84a	chain
P54195	22-143		PRO_0000012590	General odorant-binding protein 28a	chain
P54269	1-693		PRO_0000048845	Homeobox protein caupolican	chain
P54350	1-609		PRO_0000086814	Wee1-like protein kinase	chain
P54351	1-752		PRO_0000084567	Vesicle-fusing ATPase 2	chain
P54352	1-518		PRO_0000206231	Ethanolamine kinase	chain
P54353	1-166		PRO_0000193432	Putative peptidyl-prolyl cis-trans isomerase dodo	chain
P54356	24-249		PRO_0000022598	Protein twisted gastrulation	chain
P54357	1-147		PRO_0000198717	Myosin-2 essential light chain	chain
P54358	1-1092		PRO_0000046447	DNA polymerase delta catalytic subunit	chain
P54359	1-419		PRO_0000173512	Septin-2	chain
P54360	1-583		PRO_0000087324	Extracellular serine	chain
P54360	?-583		PRO_0000292347	Protein four-jointed, secreted isoform	chain
P54361	1-254		PRO_0000220862	Ornithine decarboxylase antizyme	chain
P54362	1-1034		PRO_0000193768	AP-3 complex subunit delta	chain
P54366	1-415		PRO_0000048893	Homeobox protein goosecoid	chain
P54367	1-337		PRO_0000192848	Casein kinase I isoform alpha	chain
P54385	54-562		PRO_0000007214	Glutamate dehydrogenase, mitochondrial	chain
P54397	1-357		PRO_0000075310	39 kDa FK506-binding nuclear protein	chain
P54398	1-256		PRO_0000054696	Fat body protein 2	chain
P54399	19-496		PRO_0000034202	Protein disulfide-isomerase	chain
P54611	1-226		PRO_0000117298	V-type proton ATPase subunit E	chain
P54622	23-146		PRO_0000033268	Single-stranded DNA-binding protein, mitochondrial	chain
P54623	1-1320		PRO_0000089974	Centrosomin	chain
P54631	278-400		PRO_0000033673	Protein screw	chain
P54733	1-709		PRO_0000080459	G1	chain
P55035	1-396		PRO_0000173830	26S proteasome non-ATPase regulatory subunit 4	chain
P55162	1-1126		PRO_0000216176	Membrane-associated protein Hem	chain
P55824	1-2778		PRO_0000080688	Ubiquitinyl hydrolase FAF	chain
P55828	1-120		PRO_0000146687	Small ribosomal subunit protein uS10	chain
P55830	2-268		PRO_0000153529	Small ribosomal subunit protein eS1	chain
P55841	1-166		PRO_0000132034	Large ribosomal subunit protein eL14	chain
P55935	1-195		PRO_0000132695	Small ribosomal subunit protein uS4	chain
P55965	1-697		PRO_0000184467	T-related protein	chain
P56079	1-447		PRO_0000090720	Phosphatidate cytidylyltransferase, photoreceptor-specific	chain
P56175	1-384		PRO_0000156440	Probable RNA 3'-terminal phosphate cyclase-like protein	chain
P56538	1-245		PRO_0000153737	Eukaryotic translation initiation factor 6	chain
P56544	2-120		PRO_0000158550	Acylphosphatase-1	chain
P56672	1-409		PRO_0000049206	Homeobox protein orthopedia	chain
P56721	1-575		PRO_0000107823	Transcription factor collier	chain
P58950	1-408		PRO_0000216490	Gustatory receptor 10a	chain
P58951	1-394		PRO_0000216493	Putative gustatory receptor 22a	chain
P58952	1-383		PRO_0000216495	Putative gustatory receptor 22c	chain
P58953	1-389		PRO_0000216497	Gustatory receptor for bitter taste 22e	chain
P58954	1-378		PRO_0000216498	Putative gustatory receptor 22f	chain
P58955	1-391		PRO_0000216505	Putative gustatory receptor 36a	chain
P58956	1-372		PRO_0000216509	Gustatory and pheromone receptor 39a, isoform B	chain
P58957	1-381		PRO_0000216510	Gustatory and pheromone receptor 39a, isoform C	chain
P58958	1-381		PRO_0000216511	Gustatory and pheromone receptor 39a, isoform D	chain
P58959	1-371		PRO_0000216512	Gustatory and pheromone receptor 39a, isoform A	chain
P58960	1-369		PRO_0000216513	Putative gustatory receptor 39b	chain
P58961	1-414		PRO_0000216516	Putative gustatory receptor 47b	chain
P58962	1-395		PRO_0000216518	Putative gustatory receptor 58a	chain
P58985	1-390		PRO_0000216523	Putative gustatory receptor 59d	chain
P61209	2-182		PRO_0000207441	ADP-ribosylation factor 1	chain
P61851	2-153		PRO_0000164085	Superoxide dismutase [Cu-Zn]	chain
P61857	1-446		PRO_0000048279	Tubulin beta-2 chain	chain
P62152	2-149		PRO_0000198278	Calmodulin	chain
P80455	1-139		PRO_0000122330	Small ribosomal subunit protein eS12	chain
P81641	19-494		PRO_0000001365	Alpha-amylase B	chain
P81900	1-377		PRO_0000205397	cAMP-dependent protein kinase type II regulatory subunit	chain
P81909	1-397		PRO_0000174232	Odorant receptor 22a	chain
P81910	1-397		PRO_0000174233	Odorant receptor 22b	chain
P81911	1-402		PRO_0000174234	Odorant receptor 22c	chain
P81912	1-379		PRO_0000174235	Odorant receptor 23a	chain
P81913	1-398		PRO_0000174236	Odorant receptor 24a	chain
P81914	1-378		PRO_0000174238	Odorant receptor 33a	chain
P81915	1-379		PRO_0000174239	Odorant receptor 33b	chain
P81916	1-384		PRO_0000174240	Odorant receptor 33c	chain
P81917	1-376		PRO_0000174244	Odorant receptor 43a	chain
P81918	1-403		PRO_0000174245	Odorant receptor 43b	chain
P81919	1-381		PRO_0000174248	Odorant receptor 46a, isoform A	chain
P81921	1-385		PRO_0000174250	Odorant receptor 47a	chain
P81922	1-412		PRO_0000174251	Odorant receptor 47b	chain
P81923	1-397		PRO_0000174255	Odorant receptor 59a	chain
P81924	1-467		PRO_0000174278	Putative odorant receptor 85e	chain
P81928	1-261		PRO_0000064352	Complex I assembly factor TIMMDC1, mitochondrial	chain
P82147	1-187		PRO_0000125969	Protein lethal(2)essential for life	chain
P82149	1-484		PRO_0000080569	Dolichyl-P-Man:Man5GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase l(2)not2	chain
P82295	1-1013		PRO_0000218281	Prominin-like protein	chain
P82384	17-92		PRO_0000006396	Larval cuticle protein 9	chain
P82711	1-503		PRO_0000051873	Probable cytochrome P450 6a19	chain
P82712	20-521		PRO_0000003613	Probable cytochrome P450 12d1 proximal, mitochondrial	chain
P82713	1-538		PRO_0000052319	Probable cytochrome P450 309a2	chain
P82804	1-207		PRO_0000065972	Partner of Y14 and mago	chain
P82890	1-155		PRO_0000046562	Low molecular weight phosphotyrosine protein phosphatase 1	chain
P82891	1-164		PRO_0000046563	Low molecular weight phosphotyrosine protein phosphatase 2	chain
P82910	1-642		PRO_0000078329	Heat shock 70 kDa protein Aa	chain
P82982	1-417		PRO_0000174259	Odorant receptor 65a	chain
P82983	1-406		PRO_0000174260	Putative odorant receptor 65b	chain
P82984	1-410		PRO_0000174261	Putative odorant receptor 65c	chain
P82985	1-393		PRO_0000174267	Putative odorant receptor 69a, isoform B	chain
P82986	1-385		PRO_0000174270	Odorant receptor 82a	chain
P83088	1-425		PRO_0000221123	Alpha-(1,3)-fucosyltransferase C	chain
P83094	24-570		PRO_0000033329	Stromal interaction molecule homolog	chain
P83097	27-791		PRO_0000045275	Putative inactive tyrosine-protein kinase Wsck	chain
P83098	1-346		PRO_0000086725	STE20-related kinase adapter protein stlk	chain
P83099	1-671		PRO_0000055733	Putative protein kinase C delta type homolog	chain
P83100	1-356		PRO_0000186302	Putative mitogen-activated protein kinase 14C	chain
P83101	1-501		PRO_0000085984	Putative glycogen synthase kinase-3 homolog	chain
P83102	1-828		PRO_0000085939	Putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog	chain
P83103	1-566		PRO_0000085991	Serine	chain
P83104	1-393		PRO_0000086255	Putative mitogen-activated protein kinase kinase kinase 7-like	chain
P83118	21-532		PRO_0000013034	Probable G-protein coupled receptor Mth-like 11	chain
P83119	18-488		PRO_0000013035	Probable G-protein coupled receptor Mth-like 12	chain
P83292	1-374		PRO_0000216500	Gustatory receptor 23a	chain
P83293	1-456		PRO_0000216528	Gustatory receptor for sugar taste 64a	chain
P83294	1-406		PRO_0000216529	Gustatory receptor for sugar taste 64b	chain
P83295	1-419		PRO_0000216530	Gustatory receptor for sugar taste 64c	chain
P83296	1-451		PRO_0000216532	Gustatory receptor for sugar taste 64e	chain
P83297	1-469		PRO_0000216533	Gustatory receptor for sugar taste 64f	chain
P83474	1-571		PRO_0000174339	Uncharacterized protein CG42266	chain
P83501	1-448		PRO_0000096608	SET domain-containing protein SmydA-8, isoform B	chain
P83548	20-498	ECO:0000255	PRO_0000019726	Vanin-like protein 3	chain
P83740	1-604		PRO_0000105390	Putative sodium-dependent multivitamin transporter	chain
P83949	1-389		PRO_0000200268	Homeotic protein ultrabithorax	chain
P83967	3-376		PRO_0000000669	Actin, indirect flight muscle	chain
P83972	19-140		PRO_0000018512	Lysozyme D	chain
P84029	2-108		PRO_0000108261	Cytochrome c-2	chain
P84040	2-103		PRO_0000158305	Histone H4	chain
P84051	2-124		PRO_0000055222	Histone H2A	chain
P84180	1-386		PRO_0000216494	Putative gustatory receptor 22b	chain
P84181	1-387		PRO_0000216496	Putative gustatory receptor 22d	chain
P84345	1-53		PRO_0000195523	ATP synthase protein 8	chain
P91615	1-272		PRO_0000054509	Alcohol dehydrogenase-related 31 kDa protein	chain
P91620	1-2061		PRO_0000080975	Protein still life, isoforms C	chain
P91621	2-2072		PRO_0000080974	Protein still life, isoform SIF type 1	chain
P91622	?-413		PRO_0000023451	[Pyruvate dehydrogenase (acetyl-transferring)] kinase, mitochondrial	chain
P91623	1-486		PRO_0000083462	GATA-binding factor C	chain
P91641	1-252		PRO_0000096373	Mediator of RNA polymerase II transcription subunit 20	chain
P91645	1-1851		PRO_0000053959	Voltage-dependent calcium channel type A subunit alpha-1	chain
P91657	1-382		PRO_0000197633	Opsin Rh5	chain
P91660	1-1374		PRO_0000093433	Probable multidrug resistance-associated protein lethal(2)03659	chain
P91664	1-161		PRO_0000127275	Protein max	chain
P91679	1-743		PRO_0000064312	Peptide transporter family 1	chain
P91682	32-1036		PRO_0000013019	Protein smoothened	chain
P91685	26-976		PRO_0000012944	Metabotropic glutamate receptor	chain
P91875	1-1642		PRO_0000073926	DNA-directed RNA polymerase I subunit RPA1	chain
P91891	1-339		PRO_0000209828	Protein Mo25	chain
P91926	1-940		PRO_0000193735	AP-2 complex subunit alpha	chain
P91927	61-1013		PRO_0000073861	Mitochondrial proton	chain
P91928	1-739		PRO_0000084183	MICOS complex subunit Mic60	chain
P91929	61-407		PRO_0000019990	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	chain
P91931	1-65	ECO:0000250	PRO_0000029973	S-adenosylmethionine decarboxylase beta chain	chain
P91931	66-347	ECO:0000250	PRO_0000029974	S-adenosylmethionine decarboxylase alpha chain	chain
P91938	?-596		PRO_0000030291	Thioredoxin reductase 1, mitochondrial	chain
P91943	1-751		PRO_0000048601	Protein pangolin, isoforms A	chain
P92029	1-217		PRO_0000071007	DnaJ-like protein 60	chain
P92177	1-262		PRO_0000058650	14-3-3 protein epsilon	chain
P92189	1-321		PRO_0000072274	Protein stand still	chain
P92204	1-280		PRO_0000081804	Negative elongation factor E	chain
P92208	1-372		PRO_0000186271	Stress-activated protein kinase JNK	chain
P98081	1-2224		PRO_0000079773	Protein disabled	chain
P98149	1-667		PRO_0000205163	Dorsal-related immunity factor Dif	chain
P98159	44-2616		PRO_0000028136	Serine protease ndl	chain
P98163	?-1984		PRO_0000007781	Vitellogenin receptor Yl	chain
